,original_id,sequence_length
2da7a035a4d5bb5ae820bf928c3bc264,seq_171992,280
d54730525086efcebd0b13d2f882eef4,seq_107888,279
18d66d7b5f2c8fa48c71776696dfd91a,seq_146423,275
0302838826eb9f23adb0e42f0c675949,seq_135147,274
6ed56bc56b8d5554ac622a4372a0b623,seq_49981,274
6fb728034b861b11ba824bb637f4e5e4,seq_9609,271
fb77623867d7aebb7ff8188bd07c5628,seq_158438,271
bfe2ad6fbc23625d703862075763e640,seq_167027,270
91ad046d70fbebd4ff05373c6e4d3bd4,seq_105748,269
851cbd26c09c9c96e768830037d3e37e,seq_122212,268
7a72df74a7e03dadbede2024d173f1f8,seq_125451,268
d611a465edcdac583dc1ff3c904d6d44,seq_12435,266
de2926f50c899759057e491d3dfee25f,seq_34154,266
1d4d26ed9a267995981e16aeb405ae65,seq_93545,261
5485adeb124be499a772dd992444acfb,seq_253710,261
6ed40db39aa4364b2e0fda879f3ea07e,seq_105758,261
6c0d61571fea65ce435c6f086a4873c0,seq_36007,260
3b6d6853167c615ac9857f98b8cdd6a1,seq_150345,257
4dac8b807478f585a6c39f427c395652,seq_90741,257
42052ebc7a163b6ba0bba3f7a7f06093,seq_183600,256
dff80d033bd75fcbcb105886354d566a,seq_78187,255
426474dd9fc106d8275bde6b34eac056,seq_74107,251
d87ac4a2e81587afdf7acd9885b8a647,seq_135651,250
0632e0539b957274d8a639b36aede4a9,seq_4773,250
c94e1c70e26b8a556a90f397a41c9430,seq_69884,249
9eaa11b062a65e9c1351d2469e3c1a7f,seq_219755,249
76448437056cc058965aa80d74f2bf53,seq_109855,247
a3f5042612982cde0372131aa1e29e0a,seq_9607,245
826b15edf22a1faedf50e3a14b0ef751,seq_4377,244
fa3b9a3da7bb7a297464599fa1a231e5,seq_173533,244
58afcaea28763b1ff0fc72554dea22c4,seq_162243,243
c253e121ebe9828efbeff3df31cc07cb,seq_142719,243
06e37369f59e32c39f17fb4510fcc366,seq_86432,241
0a79daf5911194634c32e94611f20ed7,seq_119064,241
f9b51aeaac28e9ce1322b05265d8b74e,seq_3853,240
c83d2e338a06c322e9cb750f433a09b3,seq_95212,238
8a0a3f18484cb8540294dc4787eee2ab,seq_105297,235
c2a2c8ebd29254b0ccf0f6cff0908c5c,seq_19852,233
4a3a6aef487e005fddfe2f52fad4ea6f,seq_142790,233
73084e839439d27b74b86c43cb96b900,seq_158262,233
71ae97b70cb312a620488eab7111436c,seq_26187,232
1b64f12e63b364fb220bd6b0809170d1,seq_95588,231
9f3453499945f81121f7f7c170a2cccd,seq_9881,229
3b61b9a59b79b4edf6290ce7eed23a20,seq_192800,229
1d1cb348267534f4c58f46ed7d7942ea,seq_74217,229
f3298641646eb24c411c543b7b41392c,seq_169443,229
1d805df3586cde3aecfebaeba85c68b8,seq_170370,228
87cce67d9a955234aa1c4f3c5918638a,seq_152022,227
03b106f0039031cf9869886426b0f6b7,seq_142866,225
7c4ece97dbaca19be8dbdeb10835ee6e,seq_10366,221
060f4994fe318c56e413a2fc9405e3f0,seq_49233,220
745bc4df92c702e8c8a382242cb0d303,seq_9981,219
32fb2820bbdf9fc23daedb7abcf1e69d,seq_142921,217
2106be891a2515ee972a8bc4d00bd98c,seq_86230,215
1b63e6d7597adca806e4a26e2cbee93b,seq_86041,215
207dd6bbbcdba82533bd4c22dec69a09,seq_194294,214
2cd8c3a9ea710825486a305b33e37c3b,seq_96331,211
d09983630bc539f751c8a2a1476e98ec,seq_82952,210
86bf9b6177a384741f0d71f380f976f9,seq_164040,209
ad119b513b0bc2a39b918d6c5da316c5,seq_3930,208
b90f2328a4c6f1cbbcbed87eadc26a7e,seq_120768,206
48f7982f7ed655ec1fb8ad90102b74e9,seq_95181,205
8e00d7833ffe1726ce26b68cc1647454,seq_95067,205
f2516cc1a7a69de85e9dba142ce8c551,seq_156668,205
5ed45ddbf0dba1b10d6d3c76bd6ded73,seq_106560,204
f311ec90cdf2d68d0cf0bf5b0edaeef2,seq_106685,204
0b5a83512ad8462f3a185bf70367f19a,seq_99250,203
bfc42e5757538845a23c424c9cb9b401,seq_113620,203
0b00ba2afbe65a60b91bcc383e44b73c,seq_120171,202
d0712f15be144fa09336dd8fa7639324,seq_125134,202
261d7ede1ac35a4021d365fe2f03a6a3,seq_143063,201
bb6ac14fbb5106b9b7ee047bb2feb49f,seq_154781,200
